["(mc.note LIKE '%)%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%t%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(segment)', '(as Jesse Hughes)', '(as Klaus RiskÃ¦r)', '(as Maurice Smith)')", "cn.country_code = '[gb]'", "it.info = 'mpaa'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2003"],
["(mc.note LIKE '%s%' OR mc.note LIKE '%t%')", "(mi.info LIKE '%s%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(as Britney Rears)', '(producer) (2002)', '(as Sonia Nasr)', '(as Nishi Rawit MD)')", "cn.country_code = '[nl]'", "it.info = 'alternate versions'", "n.gender = 'm' AND n.name LIKE '%S%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%a%')", "(mi.info LIKE '%:%' OR mi.info LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Gary N. Little)', '(as S. Babayev)', '(as Jaen Luis Livi)', '(as Serxio Pazos)')", "cn.country_code = '[ar]'", "it.info = 'tech info'", "n.gender = 'm' AND n.name LIKE '%p%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2005"],
["(mc.note LIKE '%i%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%l%' OR mi.info LIKE '%g%')", "ci.note IN ('(uncredited)', '(as Stan Hochman)', '(as Jayna)', '(as Grace Kung)', '(as RenÃ¡n Murillo)')", "cn.country_code = '[gr]'", "it.info = 'sound mix'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2005"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%A%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%A%')", "ci.note IN ('(uncredited)', '(as PÃ¤r KÃ¤llberg)', '(as Anthony Cruz)', '(as Shihad)', '(as Razor Ruddock)')", "cn.country_code = '[ar]'", "it.info = 'plot'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2003"],
["(mc.note LIKE '%p%' OR mc.note LIKE '%g%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%d%')", "ci.note IN ('(uncredited)', '(lead dancer)', '(as Orchid)', '(Trio TÃ¶ykeÃ¤t)', '(as Shane Valdez)')", "cn.country_code = '[de]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2005"],
["(mc.note LIKE '%t%' OR mc.note LIKE '%p%')", "(mi.info LIKE '%d%' OR mi.info LIKE '%.%')", "ci.note IN ('(uncredited)', '(as Bill Dement)', '(as Dr. Rich Paula)', '(as Charlie Saxon)', '(as Mickie Moore)')", "cn.country_code = '[us]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%c%'", "rt.role = 'actor'", "t.production_year > 2004 AND t.production_year < 2007"],
["(mc.note LIKE '%e%' OR mc.note LIKE '%t%')", "(mi.info LIKE '%i%' OR mi.info LIKE '%r%')", "ci.note IN ('(uncredited)', '(as Dave Bryan)', '(as Laszlo)', '(as Anthony Starr)', '(as Kamal Kharrazi)')", "cn.country_code = '[us]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2007"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%e%')", "(mi.info LIKE '%l%' OR mi.info LIKE '%b%')", "ci.note IN ('(uncredited)', '(as Rustam Uruzaev)', '(as Jarppi Leppala)', '(Best Man)', '(as Jurre Wieten)')", "cn.country_code = '[ar]'", "it.info = 'sound mix'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2006"],
["(mc.note LIKE '%n%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%u%' OR mi.info LIKE '%c%')", "ci.note IN ('(uncredited)', '(as Michael Lee)', '(as Jesse Jam)', '(as Don Fauntleroy)', '(as Dalya)')", "cn.country_code = '[ar]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2006"],
["(mc.note LIKE '%G%' OR mc.note LIKE '%i%')", "(mi.info LIKE '%o%' OR mi.info LIKE '%g%')", "ci.note IN ('(uncredited)', '(as Jean GrÃ¨cault)', '(as Dr. Faye Getz)', '(studio liaison)', '(as Miriam Ploteny)')", "cn.country_code = '[gr]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%p%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2006"],
["(mc.note LIKE '%V%' OR mc.note LIKE '%n%')", "(mi.info LIKE '%b%' OR mi.info LIKE '%T%')", "ci.note IN ('(uncredited)', '(as Lyla Lei)', '(as Bernard Kuby)', '(as Tiger Chen)', '(as Hailey Bang)')", "cn.country_code = '[nl]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2006"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%V%')", "(mi.info LIKE '%M%' OR mi.info LIKE '%F%')", "ci.note IN ('(uncredited)', '(as Jim Casey)', '(as Chris Bavelles)', '(Gauge)', '(segment "Frozen")')", "cn.country_code = '[ar]'", "it.info = 'tech info'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2006"],
["(mc.note LIKE '%f%' OR mc.note LIKE '%f%')", "(mi.info LIKE '%:%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(as Alan Lindgren)', '(as Kathe E. Mazur)', '(head caterer)', '(titles: DuArt)')", "cn.country_code = '[nl]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%p%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%d%' OR mc.note LIKE '%t%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%e%')", "ci.note IN ('(uncredited)', '(as Bobby O''Brien)', '(as LFO)', '(as Joey)', '(as Molly)')", "cn.country_code = '[nl]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2006"],
["(mc.note LIKE '%g%' OR mc.note LIKE '%e%')", "(mi.info LIKE '%r%' OR mi.info LIKE '%h%')", "ci.note IN ('(uncredited)', '(as Spooner)', '(as Dr. Hakim Adi)', '(as Scott Raven)', '(as Peter Lehtonen)')", "cn.country_code = '[nl]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2007"],
["(mc.note LIKE '%(%' OR mc.note LIKE '%5%')", "(mi.info LIKE '%A%' OR mi.info LIKE '%3%')", "ci.note IN ('(uncredited)', '(as V. Dolgachyov)', '(as Robert Hickey)', '(as Verona Rivera)', '(as Eddy Pinto)')", "cn.country_code = '[nl]'", "it.info = 'tech info'", "n.gender = 'm' AND n.name LIKE '%i%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2006"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%g%')", "(mi.info LIKE '%0%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(Lian-Sao)', '(as Ilene Landress)', '(messenger)', '(as Timothy Wrobel)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2006"],
["(mc.note LIKE '%g%' OR mc.note LIKE '%(%')", "(mi.info LIKE '%s%' OR mi.info LIKE '%r%')", "ci.note IN ('(uncredited)', '(as Jun Linda Jr.)', '(footage provider)', '(as Branco Racki)', '(as Jamie Mcshane)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%t%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2006"],
["(mc.note LIKE '%i%' OR mc.note LIKE '%V%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%1%')", "ci.note IN ('(uncredited)', '(as Metallica)', '(as Andrew Kreiss)', '(as Delano Driver)', '(The Burning Man)')", "cn.country_code = '[nl]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2007"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%5%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%d%')", "ci.note IN ('(uncredited)', '(as Lauren Jackson)', '(as Sharka)', '(as Josh Feinman)', '(as Fabeha Sultana)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%9%' OR mc.note LIKE '%l%')", "(mi.info LIKE '%C%' OR mi.info LIKE '%a%')", "ci.note IN ('(voice)', '(as Eva Mendez)', '(as Manuel Aleman)', '(as Ruslan Peterko)', '(segment "Ape")')", "cn.country_code = '[ca]'", "it.info = 'runtimes'", "n.gender = 'm' AND n.name LIKE '%a%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2005"],
["(mc.note LIKE '%2%' OR mc.note LIKE '%2%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(zombie wrangler)', '(9th. evicted)', '(book & screenplay)', '(as M.C. Phonte)')", "cn.country_code = '[gr]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 1999 AND t.production_year < 2005"],
["(mc.note LIKE '%h%' OR mc.note LIKE '%n%')", "(mi.info LIKE '%e%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(as Maxwell Hinge)', '(as P. Borst)', '(as Vanessa Guzman)', '(guitar)')", "cn.country_code = '[de]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%h%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%p%' OR mc.note LIKE '%(%')", "(mi.info LIKE '%u%' OR mi.info LIKE '%n%')", "ci.note IN ('(uncredited)', '(as Andre DeLeon)', '(X-Box version)', '(2002; 2006-)', '(boy: Preity Zinta)')", "cn.country_code = '[us]'", "it.info = 'genres'", "n.gender = 'm' AND n.name LIKE '%S%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2007"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%0%')", "(mi.info LIKE '%c%' OR mi.info LIKE '%j%')", "ci.note IN ('(uncredited)', '(trainer: Yodel)', '(as Zdenek Bartok)', '(military advisor)', '(as Frank Marks)')", "cn.country_code = '[gr]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%m%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2005"],
["(mc.note LIKE '%H%' OR mc.note LIKE '%0%')", "(mi.info LIKE '%9%' OR mi.info LIKE '%9%')", "ci.note IN ('(uncredited)', '(24)', '(as Tim Murphy)', '(titels)', '(as RÃ©my Reponti)')", "cn.country_code = '[ar]'", "it.info = 'runtimes'", "n.gender = 'm' AND n.name LIKE '%o%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2005"],
["(mc.note LIKE '%h%' OR mc.note LIKE '%g%')", "(mi.info LIKE '%e%' OR mi.info LIKE '%f%')", "ci.note IN ('(uncredited)', '(as John O''Donohue)', '(as Barkha)', '(senior designer)', '(as Warren)')", "cn.country_code = '[de]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2007"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%n%')", "(mi.info LIKE '%r%' OR mi.info LIKE '%i%')", "ci.note IN ('(uncredited)', '(puppet maker)', '(as Dana Christie)', '(as Antonio Moreno)', '(as Ken Clarke)')", "cn.country_code = '[ar]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2005"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%e%' OR mi.info LIKE '%P%')", "ci.note IN ('(uncredited)', '(as Irene Guzman)', '(as Bowan Bell)', '(as Gloria Young)', '(various segments)')", "cn.country_code = '[gr]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2007"],
["(mc.note LIKE '%f%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%8%' OR mi.info LIKE '%:%')", "ci.note IN ('(uncredited)', '(as Tom Olgeirson)', '(as Layla Hill)', '(as Robert Abrams)', '(product designer)')", "cn.country_code = '[nl]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2007"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(as Caroline Ilea)', '(string sweetening)', '(as Stephan Dixon)', '(as Lauren Phoneix)')", "cn.country_code = '[gr]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%C%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2006"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%i%')", "(mi.info LIKE '%1%' OR mi.info LIKE '%1%')", "ci.note IN ('(uncredited)', '(as Undarma)', '(as Johany Sosa)', '(as Katerina Atos)', '(kids teacher)')", "cn.country_code = '[nl]'", "it.info = 'certificates'", "n.gender = 'm' AND n.name LIKE '%S%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2007"],
["(mc.note LIKE '%c%' OR mc.note LIKE '%r%')", "(mi.info LIKE '%a%' OR mi.info LIKE '%u%')", "ci.note IN ('(uncredited)', '(as J. A. Ceinos)', '(tour griff)', '(as Beena)', '(as Carolina)')", "cn.country_code = '[gr]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%C%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2007"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%s%' OR mi.info LIKE '%t%')", "ci.note IN ('(uncredited)', '(as Michael Jordon)', '(tenis)', '(as Ty Smith)', '(as Monique La Rue)')", "cn.country_code = '[ar]'", "it.info = 'goofs'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2003 AND t.production_year < 2005"],
["(mc.note LIKE '%A%' OR mc.note LIKE '%5%')", "(mi.info LIKE '%d%' OR mi.info LIKE '%o%')", "ci.note IN ('(uncredited)', '(young age)', '(gallery paintings)', '(as Sharon Cain)', '(as Sue Tripathi)')", "cn.country_code = '[ar]'", "it.info = 'trivia'", "n.gender = 'm' AND n.name LIKE '%e%'", "rt.role = 'actor'", "t.production_year > 2001 AND t.production_year < 2006"],
["(mc.note LIKE '%)%' OR mc.note LIKE '%0%')", "(mi.info LIKE '%u%' OR mi.info LIKE '%u%')", "ci.note IN ('(uncredited)', '(as Melinda)', '(as Marad Gudiev)', '(as Aldo Baglio)', '(Firefighter)')", "cn.country_code = '[nl]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%p%'", "rt.role = 'actor'", "t.production_year > 2002 AND t.production_year < 2007"],
["(mc.note LIKE '%r%' OR mc.note LIKE '%)%')", "(mi.info LIKE '%t%' OR mi.info LIKE '%a%')", "ci.note IN ('(uncredited)', '(support: oxford)', '(as Robert Tavenor)', '(as Devin Striker)', '(Sydney)')", "cn.country_code = '[us]'", "it.info = 'quotes'", "n.gender = 'm' AND n.name LIKE '%l%'", "rt.role = 'actor'", "t.production_year > 1998 AND t.production_year < 2007"],
["(mc.note LIKE '%a%' OR mc.note LIKE '%o%')", "(mi.info LIKE '%S%' OR mi.info LIKE '%S%')", "ci.note IN ('(uncredited)', '(as Hilary Muff)', '(as Jay Lynch)', '(as V. Gushchin)', '(as Lily Lazer)')", "cn.country_code = '[de]'", "it.info = 'sound mix'", "n.gender = 'm' AND n.name LIKE '%n%'", "rt.role = 'actor'", "t.production_year > 2000 AND t.production_year < 2007"]
