["(cn.name LIKE '%a%' OR cn.name LIKE '%s%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'sarcasm'", "lt.link LIKE '%u%'", "mi.info IN ('English', 'Germany:4 June 2013', 'Â£960,000', '23,157 (France)', 'UK:2 May 1988')", "t.production_year > 1939 AND t.production_year < 2002"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%t%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'character-name-in-title'", "lt.link LIKE '%e%'", "mi.info IN ('Color', 'Egypt:22 June 1992', 'Italy:22 April 1978', 'Triluna Film AG', 'Italy:15 July 1958')", "t.production_year > 1960 AND t.production_year < 1999"],
["(cn.name LIKE '%c%' OR cn.name LIKE '%B%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%r%'", "mi.info IN ('Columbia/SME Records, Sony Music, and ''Bob Dylan'' (qv)''s management gave ''Martin Scorsese'' (qv) access to its vaults, something Dylan has never given to any documentary filmmaker.', '$4,743,119 (USA)', '59:30 BBC Version', '2 January 2007 -', 'Estonia:28 May 1999')", "t.production_year > 1910 AND t.production_year < 2006"],
["(cn.name LIKE '%s%' OR cn.name LIKE '%r%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%u%'", "mi.info IN ('Poland:22 May 2006', 'UK:30 November 1954', 'Mexico:19 May 1997', 'Poland:28 May 2005', 'Spain:7 March 1997')", "t.production_year > 1971 AND t.production_year < 2017"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%e%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%e%'", "mi.info IN ('USA:27 September 2005', 'Japan:31 July 1983', 'Israel:24 May 2010', 'Norway:25 May 2008', 'USA:11 January 1966')", "t.production_year > 2000 AND t.production_year < 2008"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%v%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%t%'", "mi.info IN ('Taiwan:25 August 2012', 'UK:28 January 1960', 'Brazil:11 June 1936', 'Finland:29 May 1974', 'Japan:23 June 1967')", "t.production_year > 1955 AND t.production_year < 2009"],
["(cn.name LIKE '%t%' OR cn.name LIKE '%r%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'royalty'", "lt.link LIKE '%w%'", "mi.info IN ('English', 'CHF 60,000', 'OFM:Pro 8mm', 'France:31 July 1974', 'UK:26 December 1987')", "t.production_year > 1890 AND t.production_year < 1995"],
["(cn.name LIKE '%r%' OR cn.name LIKE '%r%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%e%'", "mi.info IN ('Finland:K-3', 'MET:264 m', 'Besom Productions', 'Austria:11 May 2007', 'Rosi Burguete')", "t.production_year > 1997 AND t.production_year < 2011"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%s%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%e%'", "mi.info IN ('Canada:201', '$647,000', 'East Germany:46', 'Australia:121', 'USA:10 August 2013')", "t.production_year > 1972 AND t.production_year < 2008"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%r%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'non-fiction'", "lt.link LIKE '%i%'", "mi.info IN ('English', 'Topkapi', '3 April 2007 - ?', 'UK:28 May 1965', 'USA:12 July 1960')", "t.production_year > 1954 AND t.production_year < 1966"],
["(cn.name LIKE '%t%' OR cn.name LIKE '%o%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = '.hack'", "lt.link LIKE '%w%'", "mi.info IN ('Morganna: I need you as much as you need me. As long as we walk together, I will protect you.', 'Finland:8 May 1938', 'Italy:21 May 2011', 'France:16 June 1993', 'Norway:June 2006')", "t.production_year > 1978 AND t.production_year < 2020"],
["(cn.name LIKE '%W%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%e%'", "mi.info IN ('Spain:T', 'Finland:3 June 2011', 'France:24 July 1974', '41329', 'Japan:17 April 1952')", "t.production_year > 1903 AND t.production_year < 2007"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%r%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%n%'", "mi.info IN ('Argentina:Atp', 'UK:19 April 1986', '7016', '30 November 2009 -', 'Jurmala, Lithuania')", "t.production_year > 1891 AND t.production_year < 2013"],
["(cn.name LIKE '%T%' OR cn.name LIKE '%t%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%e%'", "mi.info IN ('Argentina:Atp', 'Chile:96', '14 May 1904 -', 'USA:21 April 1995', 'Japan:8 April 1947')", "t.production_year > 1905 AND t.production_year < 2015"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%i%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'cyberculture'", "lt.link LIKE '%i%'", "mi.info IN ('The ending sequence for .hack//GIFT features the //GIFT versions of the characters from //SIGN and the games in place of Subaru and Tsukasa walking across, respectively. At the end of the sequence, //GIFT versions of Subaru and Silver Knight are also shown.', 'Italy:1959', '324,300 (Spain)', 'Japan:7 August 1924', '$22,119,000 (USA)')", "t.production_year > 1936 AND t.production_year < 2016"],
["(cn.name LIKE '%P%' OR cn.name LIKE '%t%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'singer'", "lt.link LIKE '%e%'", "mi.info IN ('UK:26 September 2005', 'Justice has a name.', 'God Has A Rock Band', 'MET:2148.23 m', 'musical journey')", "t.production_year > 1894 AND t.production_year < 2006"],
["(cn.name LIKE '%u%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'beach'", "lt.link LIKE '%e%'", "mi.info IN ('English', 'UK:21 June 1986', 'MET:12.5 m', 'Iran:12 March 1963', 'China:27 April 2001')", "t.production_year > 1975 AND t.production_year < 2019"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%i%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%r%'", "mi.info IN ('Singapore:PG', 'Taiwan:3 July 2005', 'UK:11 April 2003', 'Finland:13 May 2005', 'USA:26 July 1920')", "t.production_year > 1917 AND t.production_year < 2013"],
["(cn.name LIKE '%u%' OR cn.name LIKE '%d%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%f%'", "mi.info IN ('Poland:22 May 2006', '- April 1997', 'Iran:9 July 1958', '? - 5 November 1995', 'USA:8 May 2000')", "t.production_year > 1943 AND t.production_year < 2008"],
["(cn.name LIKE '%T%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'folk-rock'", "lt.link LIKE '%e%'", "mi.info IN ('Poland:22 May 2006', 'UK:18 February 1971', 'Andrew Perta', 'Kearns, Linda', 'ESP 21,392 (Spain)')", "t.production_year > 1893 AND t.production_year < 2012"],
["(cn.name LIKE '%T%' OR cn.name LIKE '%l%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'surrealism'", "lt.link LIKE '%f%'", "mi.info IN ('Perceptor: [after seeing the Bandroids in action] Before I wondered why we needed them, now I wonder why they need us.', 'Sweden:30 June 1984', 'Spain:30 June 1971', 'UK:12 July 1987', 'UK:189')", "t.production_year > 1961 AND t.production_year < 2013"],
["(cn.name LIKE '%m%' OR cn.name LIKE '%r%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'crippled-child'", "lt.link LIKE '%l%'", "mi.info IN ('Action', 'Cuba:December 1982', 'Denmark:8 July 1985', 'USA:23 May 1991', 'USA:6 March 2006')", "t.production_year > 1951 AND t.production_year < 2014"],
["(cn.name LIKE '%t%' OR cn.name LIKE '%S%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'performance'", "lt.link LIKE '%n%'", "mi.info IN ('Sweden:8 October 2005', 'Lionsgate', 'Portugal:3 May 1957', 'Georgia:95', 'Some days...')", "t.production_year > 1946 AND t.production_year < 2015"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%i%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%i%'", "mi.info IN ('Argentina:23 November 2005', '8302', 'UK:31 July 1978', 'MET:1298 m', 'MET:1554.48 m')", "t.production_year > 1935 AND t.production_year < 2007"],
["(cn.name LIKE '%t%' OR cn.name LIKE '%i%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'performance'", "lt.link LIKE '%e%'", "mi.info IN ('''Martin Scorsese'' (qv) never met or discussed the film with ''Bob Dylan'' (qv) during filming. However he worked extensively with him during the filming of _The Last Waltz (1978)_ (qv).', 'Denmark:4 June 1948', 'USA:12 April 1960', 'India:8 August 2008', 'USA:29 July 1998')", "t.production_year > 1954 AND t.production_year < 2015"],
["(cn.name LIKE '%r%' OR cn.name LIKE '%e%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'singer'", "lt.link LIKE '%e%'", "mi.info IN ('Italy:November 2005', 'USA:23 July 2011', 'Ireland:May 2004', 'Poland:9 May 1997', 'UK:9 June 1961')", "t.production_year > 1960 AND t.production_year < 2006"],
["(cn.name LIKE '%c%' OR cn.name LIKE '%i%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'performance'", "lt.link LIKE '%i%'", "mi.info IN ('Singapore:PG', 'ESP 10,772 (Spain)', 'Norway:10 June 1998', 'Sweden:10 May 2011', 'Â© 2004 NRK')", "t.production_year > 1987 AND t.production_year < 2012"],
["(cn.name LIKE '%m%' OR cn.name LIKE '%e%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = '.hack'", "lt.link LIKE '%f%'", "mi.info IN ('The opening sequence for .hack//GIFT is similar to that of .hack//SIGN, but with several differences: - Ucchi and Emy, two characters exclusive to //GIFT, appear in the "mouse click" scene. - Many times in the opening, Subaru, Bear, Mimiru, and BT flash between their //SIGN and //GIFT designs. Aura also does this in her floating scene. - During the scene in which Subaru, Bear, Mimiru, and BT wave their respective weapons and split in half, the //SIGN - version characters walk across, are briefly shown in their //GIFT forms as their bodies split, and immediately change back. - The "disintegrating clothes" scenes are replaced by ones of the //GIFT versions of Subaru, Bear, Mimiru, and BT floating against the tunnel of 1s and 0s. - Instead of the //SIGN Tsukasa being wrapped by the Guardian''s tentacles, a //GIFT Tsukasa is shown being Data Drained. - When the dancing girl hits the water, she changes into the topless Helba shown in //GIFT, and the //SIGN Aura is replaced by her //GIFT counterpart.', 'To better days', 'USA:7 December 1930', '11269', 'USA:6 December 1912')", "t.production_year > 1992 AND t.production_year < 2009"],
["(cn.name LIKE '%a%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'shot-in-the-forehead'", "lt.link LIKE '%e%'", "mi.info IN ('Sci-Fi', 'CAM:Sony BVP-30', 'UK:28 March 2007', 'NZD 350,000', 'Canada:20 June 2005')", "t.production_year > 1964 AND t.production_year < 2015"],
["(cn.name LIKE '%o%' OR cn.name LIKE '%t%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%r%'", "mi.info IN ('Finland:K-3', 'Japan:26 June 2004', 'USA:11 July 1971', '642 (Spain)', 'Soviet Union:308')", "t.production_year > 1950 AND t.production_year < 2016"],
["(cn.name LIKE '%i%' OR cn.name LIKE '%i%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'silent-movie-sequence'", "lt.link LIKE '%l%'", "mi.info IN ('Action', 'Italy:1 June 1957', 'Brazil:11 June 2010', 'Norway:1 March 2013', 'God is now here...')", "t.production_year > 1910 AND t.production_year < 2013"],
["(cn.name LIKE '%E%' OR cn.name LIKE '%r%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'interview'", "lt.link LIKE '%e%'", "mi.info IN ('UK:26 September 2005', '1954 - 1956', 'UK:15 January 1977', 'Japan:25 April 1924', 'An Enduring Love.')", "t.production_year > 1908 AND t.production_year < 2012"],
["(cn.name LIKE '%f%' OR cn.name LIKE '%s%') AND cn.country_code != '[gb]'", "ct.kind = 'production companies'", "k.keyword = 'singer'", "lt.link LIKE '%n%'", "mi.info IN ('Finland:16 November 2005', 'CAM:Sony CCD-TRV6', 'Sweden:18 May 1961', 'Japan:6 March 1990', 'Brazil:2 March 1959')", "t.production_year > 1910 AND t.production_year < 2019"],
["(cn.name LIKE '%r%' OR cn.name LIKE '%o%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'supernatural'", "lt.link LIKE '%f%'", "mi.info IN ('Horror', 'â¬ 900', 'MET:1783.69 m', 'India:25 May 2009', 'USA:13 January 1989')", "t.production_year > 1899 AND t.production_year < 2020"],
["(cn.name LIKE '%e%' OR cn.name LIKE '%t%') AND cn.country_code != '[jp]'", "ct.kind = 'production companies'", "k.keyword = 'multiplayer'", "lt.link LIKE '%p%'", "mi.info IN ('Silver Knight: It is not easy, to act in the name of justice.', 'Netherlands:1980', '5843', 'USA:9 May 2010', 'UK:6 August 2003')", "t.production_year > 1967 AND t.production_year < 2017"],
["(cn.name LIKE '%g%' OR cn.name LIKE '%S%') AND cn.country_code != '[us]'", "ct.kind = 'production companies'", "k.keyword = 'musician'", "lt.link LIKE '%s%'", "mi.info IN ('USA:27 September 2005', 'UK:19 May 1995', 'UK:18 March 2000', 'ESP 145,873 (Spain)', 'He''s got a dream.')", "t.production_year > 1939 AND t.production_year < 2019"]
