["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(associate producer)', '(voice)', '(archive footage)', '(story editor)', '(supervising producer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('based-on-play', 'based-on-play', 'number-in-title', 'based-on-play', 'number-in-title')", "mi.info IN ('NTSC', 'Dolby Surround', '12', 'USA:R', 'UK')", "n.gender = 'm'", "t.production_year > 1969"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(executive producer)', '(executive producer)', '(executive producer)', '(voice)', '(voice)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('father-son-relationship', 'female-frontal-nudity', 'lesbian-sex', 'one-word-title', 'revenge')", "mi.info IN ('RAT:1.33 : 1', 'USA', 'OFM:35 mm', 'RAT:1.33 : 1', 'PFM:35 mm')", "n.gender = 'm'", "t.production_year > 1980"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1974"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(written by)', '(written by)', '(creator)', '(written by)', '(written by)')", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('Black and White', 'UK', '-', 'PCS:Spherical', 'PCS:Spherical')", "n.gender = 'm'", "t.production_year > 1968"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(voice)', '(producer)', '(voice)', '(producer)', '(voice)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('independent-film', 'character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title')", "mi.info IN ('Color', 'Color', 'USA', 'English', 'English')", "n.gender = 'm'", "t.production_year > 1963"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('surrealism', 'father-son-relationship', 'blood', 'rape', 'one-word-title')", "mi.info IN ('UK', 'Short', 'Short', 'UK', 'Short')", "n.gender = 'm'", "t.production_year > 1983"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(screenplay)', '(written by)', '(director of photography)', '(creator)', '(director of photography)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('RAT:1.33 : 1', 'Drama', 'Drama', 'Drama', 'RAT:1.33 : 1')", "n.gender = 'm'", "t.production_year > 1985"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(executive producer)', '(voice)', '(associate producer)', '(associate producer)', '(writer)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film', 'independent-film')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1962"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(voice)', '(production assistant)', '(production assistant)', '(voice)', '(voice)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('OFM:35 mm', 'English', 'Drama', 'PFM:35 mm', 'Color')", "n.gender = 'm'", "t.production_year > 1990"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(executive producer)', '(producer)', '(writer)', '(executive producer)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('manson-family', 'carmen-miranda-impersonator', 'bobsledding', 'fording-a-river', 'shoeshine-stand')", "mi.info IN ('Mono', 'USA', 'RAT:1.33 : 1', 'Comedy', 'OFM:35 mm')", "n.gender = 'm'", "t.production_year > 1972"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(location manager)', '(voice)', '(screenplay)', '(location manager)', '(written by)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('megaphone', 'clerical-collar', 'mixed-media', 'hypodermic-needle', 'damaged-car')", "mi.info IN ('Drama', 'Drama', 'Drama', 'Black and White', 'Black and White')", "n.gender = 'm'", "t.production_year > 1970"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(executive producer)', '(written by)', '(writer)', '(voice)', '(executive producer)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('Comedy', 'Comedy', 'Comedy', 'Comedy', 'Comedy')", "n.gender = 'm'", "t.production_year > 1991"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(associate producer)', '(script supervisor)', '(written by)', '(production assistant)', '(voice)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1984"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(as Hideo Shimado)', '(production executive)', '(as Marghe Sala)', '(as Mini Aguilar)', '(associate producer)')", "it.info = 'genres'", "it.info = 'top 250 rank'", "k.keyword IN ('number-in-title', 'number-in-title', 'number-in-title', 'nudity', 'nudity')", "mi.info IN ('Drama', 'Drama', 'Drama', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1970"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info IN ('Movie', 'PCS:Spherical', 'CLV', 'Dolby Surround', 'Comedy')", "n.gender = 'm'", "t.production_year > 1962"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(director of photography)', '(written by)', '(location manager)', '(story)', '(creator)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('number-in-title', 'number-in-title', 'based-on-play', 'nudity', 'based-on-play')", "mi.info IN ('-', '-', 'English', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1967"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('RAT:1.33 : 1', 'RAT:1.33 : 1', 'RAT:1.33 : 1', 'Drama', 'RAT:1.33 : 1')", "n.gender = 'm'", "t.production_year > 1977"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('Drama', 'Drama', 'Drama', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1983"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('Comedy', 'Documentary', 'Short', 'Comedy', 'UK')", "n.gender = 'm'", "t.production_year > 1991"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(executive producer)', '(writer)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'character-name-in-title', 'independent-film')", "mi.info IN ('Comedy', 'Comedy', 'Comedy', 'Comedy', 'Comedy')", "n.gender = 'm'", "t.production_year > 1971"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(animal handler) (as Christie Miele)', '(technical advisor) (as John Newman)', '(advisor: final sequence) (uncredited)', '(voice) (as Tod Oleson)', '(production assistant)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('Drama', 'Drama', 'Black and White', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1984"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(archive footage)', '(story)', '(screenplay)', '(screenplay)', '(associate producer)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('arcade-game', 'lesbian-sex', 'softcore', 'dog', 'tv-mini-series')", "mi.info IN ('RAT:1.33 : 1', 'Drama', 'Drama', 'RAT:1.33 : 1', 'Drama')", "n.gender = 'm'", "t.production_year > 1983"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('USA', 'USA', 'USA', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1992"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(voice)', '(producer)', '(producer)', '(voice)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('father-son-relationship', 'bare-breasts', 'blood', 'blood', 'erotica')", "mi.info IN ('Comedy', 'Comedy', 'Comedy', 'Comedy', 'Comedy')", "n.gender = 'm'", "t.production_year > 1987"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(voice)', '(producer)')", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('-', 'PCS:Spherical', '-', 'UK', 'PCS:Spherical')", "n.gender = 'm'", "t.production_year > 1961"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('death', 'male-nudity', 'two-word-title', 'lesbian-sex', 'violence')", "mi.info IN ('OFM:35 mm', 'USA', 'RAT:1.33 : 1', 'OFM:35 mm', 'Color')", "n.gender = 'm'", "t.production_year > 1981"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(voice)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('nudity', 'based-on-play', 'based-on-play', 'based-on-play', 'number-in-title')", "mi.info IN ('Australia:M', 'Horror', 'Pan & Scan', 'UK', 'Digital/Analog-CX')", "n.gender = 'm'", "t.production_year > 1976"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'votes'", "k.keyword IN ('murder', 'murder', 'murder', 'murder', 'murder')", "mi.info IN ('Drama', 'Drama', '30', 'PFM:35 mm', 'USA')", "n.gender = 'm'", "t.production_year > 1973"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(writer)', '(writer)', '(writer)', '(writer)', '(writer)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('character-name-in-title', 'independent-film', 'independent-film', 'character-name-in-title', 'independent-film')", "mi.info IN ('English', 'Drama', 'USA', 'English', 'Color')", "n.gender = 'm'", "t.production_year > 1983"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete'", "ci.note IN ('(uncredited)', '(producer)', '(executive producer)', '(producer)', '(producer)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('Comedy', 'Comedy', 'Drama', 'Drama', 'Comedy')", "n.gender = 'm'", "t.production_year > 1986"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(screenplay)', '(associate producer)', '(archive footage)', '(story)', '(archive footage)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('RAT:1.33 : 1', 'Drama', 'Drama', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1975"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'countries'", "it.info = 'votes distribution'", "k.keyword IN ('sex', 'sex', 'sex', 'sex', 'sex')", "mi.info IN ('USA', 'English', 'English', 'English', 'USA')", "n.gender = 'm'", "t.production_year > 1981"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(voice)', '(uncredited)', '(uncredited)', '(uncredited)', '(voice)')", "it.info = 'countries'", "it.info = 'rating'", "k.keyword IN ('independent-film', 'independent-film', 'independent-film', 'character-name-in-title', 'character-name-in-title')", "mi.info IN ('English', 'English', 'English', 'USA', 'USA')", "n.gender = 'm'", "t.production_year > 1989"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('based-on-play', 'number-in-title', 'based-on-play', 'based-on-play', 'number-in-title')", "mi.info IN ('UK', 'Documentary', 'Documentary', 'Short', 'Short')", "n.gender = 'm'", "t.production_year > 1990"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)', '(uncredited)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('hardcore', 'hardcore', 'hardcore', 'hardcore', 'hardcore')", "mi.info IN ('Drama', 'Comedy', 'Drama', 'Drama', 'Comedy')", "n.gender = 'm'", "t.production_year > 1962"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'genres'", "it.info = 'votes'", "k.keyword IN ('character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film', 'character-name-in-title')", "mi.info IN ('Drama', 'Drama', 'Drama', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1984"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(executive producer)', '(executive producer)', '(uncredited)', '(executive producer)', '(executive producer)')", "it.info = 'genres'", "it.info = 'votes distribution'", "k.keyword IN ('based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel', 'based-on-novel')", "mi.info IN ('RAT:1.33 : 1', 'Drama', 'Drama', 'Drama', 'RAT:1.33 : 1')", "n.gender = 'm'", "t.production_year > 1991"],
["cct.kind IN ('cast', 'cast', 'cast', 'cast', 'cast')", "cct.kind = 'complete+verified'", "ci.note IN ('(voice)', '(voice)', '(voice)', '(voice)', '(producer)')", "it.info = 'genres'", "it.info = 'top 250 rank'", "k.keyword IN ('female-nudity', 'female-nudity', 'female-nudity', 'female-nudity', 'female-nudity')", "mi.info IN ('Comedy', 'Comedy', 'Drama', 'Comedy', 'Drama')", "n.gender = 'm'", "t.production_year > 1987"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete+verified'", "ci.note IN ('(producer)', '(producer)', '(producer)', '(producer)', '(producer)')", "it.info = 'countries'", "it.info = 'top 250 rank'", "k.keyword IN ('based-on-play', 'number-in-title', 'number-in-title', 'number-in-title', 'number-in-title')", "mi.info IN ('Drama', 'Mono', 'UK', 'Short', 'USA')", "n.gender = 'm'", "t.production_year > 1965"],
["cct.kind IN ('crew', 'crew', 'crew', 'crew', 'crew')", "cct.kind = 'complete'", "ci.note IN ('(screenplay)', '(production coordinator)', '(archive footage)', '(screenplay)', '(story editor)')", "it.info = 'genres'", "it.info = 'rating'", "k.keyword IN ('character-name-in-title', 'character-name-in-title', 'independent-film', 'character-name-in-title', 'independent-film')", "mi.info IN ('Drama', 'Black and White', 'Drama', 'Drama', 'Drama')", "n.gender = 'm'", "t.production_year > 1988"]
